		Timetable of CS Symposium - Spring 2022 April 1, 2022 | 11:45AM-5:30PM Website: https://csresearchsymposium.github.io					
		Please submit the final versions by March 30 (not 31), 11:59PM at https://forms.gle/9ecEyoAZPUZzMu7x7 					
Hosted by:		SACM	WACM				Contact: Joon Park <hyojoon.park@wisc.edu>, Sonia Cromp <cromp@wisc.edu>
Order	Start	End	Duration including Q&A [min]	Speaker	Type	Area	Title
1	12:00 PM	12:50 PM	50	Swamit Tannu	Keynote 1		Quantum Computing: A Full Stack Problem
2	12:50 PM	12:55 PM	5	Anthony Rebello	Lightning	Systems	Understanding Application Intentions
3	12:55 PM	1:07 PM	12	Mark Mansi	Presentation	Systems	CBMM: Financial Advice for Kernel Memory Managers
4	1:07 PM	1:19 PM	12	Levi Redlin	Presentation	ML/AI, Systems	Implementing an RNN accelerated MLFQ scheduler on an FPGA
5	1:19 PM	1:24 PM	5		Break		
6	1:24 PM	1:36 PM	12	Rishabh Khandelwal	Presentation	Privacy	CookieEnforcer: Automated Cookie Notice Analysis and Enforcement
7	1:36 PM	1:48 PM	12	Saurabh Agarwal	Presentation	ML/AI, Systems	On the utility of gradient compression
8	1:48 PM	1:53 PM	5	Sujay Yadalam	Lightning	Architecture, Systems	Enabling fast and secure access to storage devices
9	1:53 PM	1:58 PM	5		Break		
10	1:58 PM	2:10 PM	12	Jiefeng Chen	Presentation	ML/AI, Security	Stratified Adversarial Robustness with Rejection
11	2:10 PM	2:15 PM	5	Mazharul Islam	Lightning	Security	Defending against online password guessing
12	2:15 PM	2:20 PM	5	Ashish Hooda	Lightning	Security, Systems	TBA
13	2:20 PM	2:25 PM	5	Alexander Moon	Lightning	Theory	Explicit Sample Bounds for Distribution Testing Algorithms
14	2:25 PM	2:30 PM	5	Nikos Zarifis	Lightning	Theory	TBA
15	2:30 PM	2:52 PM	22		Long break		
16	2:52 PM	3:27 PM	35	Fred Sala	Keynote 2		Overcoming Machine Learning's Data Bottlenecks
17	3:27 PM	3:32 PM	5	Vishnu Lokhande	Lightning	ML/AI	Towards Group Robustness in the presence of Partial Group Labels
18	3:32 PM	3:44 PM	12	Jihye Choi	Presentation	ML/AI	Concept-based Explanations for Out-Of-Distribution Detectors
19	3:44 PM	3:56 PM	12	Kartik Sreenivasan	Presentation	ML/AI	Neural Network Pruning and The Lottery Ticket Hypothesis
20	3:56 PM	4:08 PM	12	Shashank Rajput	Presentation	ML/AI	An Exponential Improvement on the Memorization Capacity of Deep Threshold Networks
21	4:08 PM	4:13 PM	5		Break		
22	4:13 PM	4:18 PM	5	Keith Johnson	Lightning	Programming Languages	Generalized Top-Down Semantics-Guided Synthesis
23	4:18 PM	4:30 PM	12	Yuhao Kang	Presentation	Optimization, Geographic Information Science	STICC: A multivariate spatial clustering method for repeated geographicpattern discovery with consideration of spatial contiguity
24	4:30 PM	4:42 PM	12	Anna Meyer	Presentation	ML/AI, Programming Languages	Certifying Robustness to Programmable Data Bias
25	4:42 PM	4:47 PM	5		Break		
26	4:47 PM	4:59 PM	12	Mehmet Demirel	Presentation	ML/AI	Attentive Walk-Aggregating Graph Neural Networks
27	4:59 PM	5:04 PM	5	Sheriff Issaka	Lightning	Data Science, HCI, ML/AI	TBA
28	5:04 PM	5:09 PM	5	Daniel Szabo	Lightning	Data Science, Theory	Using Algorithmic Redistricting to Combat Gerrymandering
29	5:09 PM	5:14 PM	5	Ankit Pensia	Lightning	Data Science, ML/AI, Theory	Hypothesis Testing under Communication Constraints
30	5:14: PM	5:24: PM	10	-	-	-	Award announcement and closing remarks
